id,label,texts
1875,0,it's wordplay
922,0,Trueeee it’s the same at UW ppl ask me if I know somebody but there’s like 40k students there’s no chance 😂😂
2489,0,you need like a spray can type thing
410,1,Well we’ll get the top shelf alcohol then 😂
3525,1,I'm craving you right now.
2400,0,lung cancer
3472,1,Tease
2359,0,"oslo, nice"
1369,0,Frozen pizza for 2 or less dollars
780,0,Yeah I really liked em!! Especially 13th def recommended time so many
309,1,But I suppose I can start a real conversation while we’re at it...
1949,1,"fair enough, i'm on holidays right now"
3101,1,Good girl.
3170,1,"You can, wherever you want too ;)"
2707,0,is the best
1809,0,is that near bulleen?
2524,0,then why did you just ask me about skype and snapchat?
2616,0,swedish meatballs
2572,1,what's with the bear
3314,1,Yup lol
3146,1,Any way you want ;)
2140,1,"haha i've heard about that one, it's like impossible to get
i have a splatter vinyl, a white vampire weekend record, a little red EP from life in film and a clear green fratellis one"
2902,1,Do you want to take a bite at this new place in town
3488,1,"I want your hands to be all over my body, slowly moving over my nipples and feeling them get harder under your finger tips. I can feel you tracing every curve of my body, eventually going down between my legs, feeling how wet I am, teasing my clit until I can't take it anymore and I beg you to eat me out"
1217,0,My semesters always start out exciting
1185,1,I already see a lot of compatibility here
3368,1,We make out intensely
299,1,Also you have the best smile
722,1,Debbie be honest with me let’s have a deep conversation
1513,0,what do you have to write essays for!
1767,0,i don't eat lipbalm lol
2338,0,does your band's facebook page feature the rock?
106,0,I keep waiting to hit that magic number but it hasn’t come yet
1460,0,life story?
3048,1,I like to graze my fingernails across my breasts.
3237,1,Oh that’s right I remember u now!!! Dang u never came back (I sent her a picture of me and Jlaix w/ beers on our heads lol)
3103,1,"I have a thick rubber dildo, about 9″ but very wide head especially."
2083,1,i didn't know boys were so into instagram until i downloaded tinder
2639,1,"what on earth? my dog's not really the wrestling type, she's a golden retriever"
1490,0,video quality was shit
1740,0,"haha, that's a good motivation"
387,0,I’m good! It’s a friends birthday tonight
2073,0,hahahahaha
2180,1,🐩🐾
2241,0,i collect coloured vinyl
1684,0,"i go on the elliptical, and do stretches and such but i get pretty slack with it sometimes 😕"
2711,0,it's good
3156,1,Already? How hard? ;)
3064,1,Take your time. Tell me everything.
2982,1,I'm already fully committed to dreaming about you tonight.
3227,1,you're sexy too 😉
3370,1,"Mmm then put your legs behind your head, stick my finger in your wet pussy and make you squirt all over my fingers then slide my dick inside you and fuck you slowly til you beg to go deep and hard then fuck away"
1907,0,🎷
538,1,😍😍😍
3239,1,Aww that sucks…
3259,1,Wow never again lol!!!!
213,1,😫😫😫
2135,1,because doges are cool
3424,1,Might not even have time to take your skirt off
1085,1,Dream date idea: zoom date except my internet doesnt cut out like it did last time
1453,0,"i have some friends who play music or act, and when i ask them what they're up to, they won't shut up about whatever production they're working on"
1286,0,Or bo-dwin
3313,1,Rainbow bright lol
1183,0,"4.94 is an impressive score, but does it keep you up at night wondering who the uber driver was who gave you less than 5 stars, ruining what could have been a perfect score?"
2225,1,what else are you into? other than smoking and nail art
189,0,College ends too soon tho there’s so much to learn and do
3476,1,?
3066,1,So slippery.
2084,0,all my friends who are boys have accounts but have like 1 photo on there
2989,1,You make my heart skip a beet.
1448,0,what have you been dancing in?
724,1,That pool looks refreshing but not as refreshing as you
3511,1,Omg I so wish you were here
3321,1,Me: We need to test this theory
878,0,I’m terrible with pickup lines haha
218,0,That’s almost worth going to the show purely to say you did
1569,0,i figured
918,0,"That’s what I like to hear, mama didn’t raise no quitter 😂"
3034,1,What do you want to know?
2709,1,"well if it's your favourite record, why on earth wouldn't you own it...!"
3530,1,you back on to me so I can finish the job
620,0,you have good playlists tho
2015,0,"if you're friends with amy, do you know jeremy and mitch and crew?"
164,1,Lemme fuck ur life up
2651,0,the best VW is the kombi or the beetle
1635,0,um good
2223,0,"i believe you, it takes practice to not colour outside the lines"
3405,1,I am constantly horny
2901,1,You look like sun today
1580,0,"there's a strat in the corner, right?"
2527,0,"lovely, i imagine it's very fulfilling"
471,0,Naisha is ranting let’s get her
17,1,What’s up Jenaya what’s your last played song on Spotify
901,0,I woke up to my roommates wanting to drink
3542,1,Yeah I have a very high sex drive lol
2276,0,you put the accent on cliché the wrong way haha
2153,0,"how rude! i love my lanes, and degraves has cupcakes"
3396,1,Yes please I wanna see those gorgeous eyes of yours
392,1,Giraffes are everyone’s favorite animal 😉
1704,0,oh you're in print media?
2204,0,is that a photo from palace theatre?
2249,0,"um, i play the uke and i have a little semi acoustic that i mess around one"
3446,1,Really take your time and enjoy it
2930,1, your personality shines so bright its so captivating 
2533,0,"not really, it's wordplay that some friends came up with a while ago"
2201,1,do we...
3150,1,Wbu?
2021,0,"yeah, my friend is kind of obsessed with their 90s night"
3523,1,God I want to fuck your mouth and pussy so badly
1371,0,You have pretty much the only tinder bio I have been able to work with
1421,0,have you been electrocuted yet?
362,0,1. Blonde/Channel Orange (tie) 2. Harry Styles 3. Ctrl by SZA 4. Pony by Rex Orange County
2542,0,fitzroy also used to be a bit of an opium den
454,1,I’m troublemaker
3047,1,My tits feel great. Firm. Bouncy. Very sensitive.
3084,1,Tell me how you like to eat my pussy.
3484,1,"clit, that we do it on the couch soaking wet"
1174,0,But instead I just have to go about my life functionally blind
3016,1,"Oh my god, I can feel it growing in my pussy"
2992,1,I'd rather spend my time exploring the aisles of your heart.
657,1,I mean we will have to practice a few times first
219,0,Yet at the same time so sad
3477,1,Could you please French kiss my sweet little pussy love?
3407,1,Namely you.
2891,1,do you want to get together sometime
3135,1,I am going to be jerking off over this forever.
2597,0,please don't tranquilise the asian elephant
3141,1, Really? Like what? ;)
11,1,This is both a compliment but also makes me question my entire life
2754,0,jack black?
25,1,NUT 😩
1929,0,and besides you'd be made of some kind of alloy and be conductive...
2526,1,mostly 🐶
766,0,I really liked marketing in high school then coming to UW got more into tech so combined em :) what got u into envi sci?
1234,0,"Thursdays a bit tough for me but could you do Friday some time during the day,"
1179,1,How can I make it up to you Natalie
2163,0,"don't think so, i think she dropped out"
2983,1,I was thinking we could get lost in each other's company.
1180,0,I'm 50 percent irish does that help
3111,1,Legs crossed and in the air.
1386,0,It would have been except I had a radiator
311,0,Try me
2355,0,"i'll be scathing but if it's on vinyl, it'll be less terrible"
2904,1,Did you enjoy the sex book I land you
830,0,Damn always something
1632,0,"hi, i'm pretty good how are you?"
3426,1,If I'm wearing any
3434,1,I want you to promise me one thing
816,0,I gotchu 👉👈
2,0,Haha drivers license for me too but most recently Dangerously in Love by Beyoncé
1602,0,haha yeah i did that in first year for a bit
2621,1,"thanks, are you named after a hipster essential nutrient?"
2720,1,wallabies are cute tho
3433,1,Chat 16
3238,1,I did actually just never saw you boo
578,1,Best. Match. Ever.
409,1,Also we can finally reach the REALLY high shelves at Costco
1191,0,Also you should try this instant coffee I bought it's the worst coffee I have ever had but it gets the job done
2609,1,the green shot?
1452,0,they're basically plays! aren't they?
3482,1,That's how your going to feel when I spread your pussy with my tongue and make you come with my mouth
1249,0,Dope what are you studying?
1310,1,Do you know what the top thing I look for in a woman is?
2882,0,what kind of air guitars?
302,1,I suppose we’ll have to break a couple rules then to accommodate
3089,1,I think your ass is jealous of your pussy.
2066,0,"science at melbourne, probably majoring in path"
103,1,How can you be 70 miles away but still live in my head?
2352,0,the 4th dimension?
1591,0,last semester i had a day off for the first time ever
1083,1,"I am experienced in fish rearing, so would like to apply to coparent your fish. What is their name?"
3164,1,First we lay on your bed.. And pull the comforters ;)
2886,1,hey do you wanna hook up
965,0,"Electrical engineering and computer science at Berkeley, and then all those hobbies. How do you find the time?"
427,1,It’s okay we can just practice then
1058,0,"Hahaha was the frat your only option? I would probably take anything over a frat. I lived in a sorority my sophomore year which was great, both for meeting girls and living in a clean and peaceful space."
3188,1," Aghhh I'm sooo wet ;) Baby, go down on meee. Puhlease.. Eat me out"
923,1,Hey Sofia 👋
712,0,Ofc is that even a question
179,0,But a vibe for sure
2499,0,haha what about you? other than 2 door
1892,0,"many, many cruisers"
460,0,Also how was I doppelgänger I was troublemaker 😂😂😂
1493,0,life in film's pretty under the radar but they're my favourite
2305,1,haha yes
3415,1,Oh yeah? What am I doing?
2657,1,there wasn't a pun anywhere up there 😸
1141,0,Ended up having to go at least 3 times
288,1,Look who’s tryna slide in
2852,0,looks a little worse for wear
938,0,Haha. Yeah. I was tired today too but out of boredom.
848,0,Ah I feel that. I can go for quite some time but that bit of alone time is so crucial haha
3010,1,My pussy is tight and can take a lot of pain
3020,1,"please cum for me, cum for your love"
1467,0,"and if it all pans out, med school after i graduate"
3271,1,(I send picture of Rainbow Brite)
3506,1,"and id curl my middle finger up, gently pressing on your g spot"
3246,1,"Me: I’m headed to a pt’s right now. Where you at hon? (As you can see before I even think about how to start sexting, I figure out if we can meet up first ;))"
3490,1,i want to slowly spread your legs wide and kiss down the inside of your thighs
2516,0,*illusion
2690,0,"not much, wbu?"
1474,0,do you like lecturing?
3328,1,That’s a cute little pussy I may have to spank you for being so bad and not wearing panties
345,1,Lmao this is mine don’t make fun of the cover picture 😂
2586,0,it showed up as a black square
1643,1,just curious what it is
2293,0,no it's like fruity
390,0,It makes concerts really nice ofc
322,0,Indeed
3211,1,Your eyes again..
2861,1,austrian porn
1555,0,"i don't know what's happening then, i end up being on barbequing duty O.O"
1201,1,I feel as if weve matched before
3330,1,It’s good to be bad sometimes 😉
1075,1,I have a fat ass too believe it or not. What if we had a kid
1537,0,morbid obesity?
446,0,If u can match ofc
3295,1,Are you sure about that
1158,0,Do I have the job?
1813,1,"good, how r u?"
3005,1,"Your handwriting is so beautiful, can I just watch you write instead?"
2478,1,i think they're kind of cool but lung cancer 🙊
438,1,I need to tell my family 🤫
2138,0,haha yeah i saw a youtube video of it before i bought it so no surprises there
2806,1,taco truck is the best
41,1,Hey Jennie you tryna link?
47,1,Hey avisha you tryna link?
3390,1,Finger yourself until you want more
1003,0,I would say 5 as well. I am pretty happy about the election and like it a lot in CA (just moved here). But obviously life is pretty boring haha
1341,0,You continue to impress
2238,0,jack white's lazaretto my god
149,1,Daddy? Let’s go
663,1,"If I make it there I’ll know exactly who to text 😉 come to Seattle and you’ll have free room, board, and breakfast"
3217,1,"Your tounge plunging In my mouth""..Your legs are crossed over my back... Pulling me in.."
1247,1,"Honesty, another thing I respect. Maybe I'll just pay the dowry in full"
2158,0,and there's better coffee
765,0,I’m a marketing and Information systems double major haha going into more of a data role hopefully after graduating
2888,1,do you want to grab a drink
1568,0,crayon factory? they have those in melbourne?
324,1,What’s the worst and best lines you’ve heard on Tinder
450,0,I’m hiring a lit DJ
1021,1,Dope so if we get married I can get free drugs in 10 years
3448,1,Because I'm gonna tease the hell out of you before I let you cum all over my face
624,1,Hey 🥴
1908,0,"a friend of mine is like that, and ironically his name is also josh..."
325,1,❤️
1005,0,Being a nanny plus class sounds like a lot haha - I struggled with class alone in college
2492,1,👍
3293,1,"Well then I think you need to let them know you got to pull over real quick to use the restroom (So here I know I wasn’t being realistic but I HAD to continue the dominance theme, not just because it was the right move but because I was FEELING it.)"
2427,0,but we'll see how that pans out
2957,1,I wish you were here to rub my temples and make me feel better.
2944,1,"I'm excited to see my friend, but I would be even more excited if I could share a meal with you instead."
3169,1,I want to touch u
3512,1,so do i
2250,0,uni's kind of a time consuming activity
896,0,Oh yah same
1223,1,hey are u out tonight?
3384,1,"I'll tie you up to the bed and get on top of you after eating you out and be so rough and passionate, you'll be itching to get out of those handcuffs so you can ride me till kingdom cum"
672,0,So which one?
871,0,Exactly I’ve already got a leg up on everyone else
2768,0,it's wearing the same outfit as your photo
725,1,Be the peach to my Mario
3191,1,As I'm lightly touching your clit..
6,0,"Frank was at the top of my Spotify wrapped, I was v proud"
307,0,If you drop yours one day I’ll make sure to let you know
629,1,In your heart ❤️
919,0,So you go to Wazzu are you back over towards the west for quarantine?
763,0,Oh shit it’s in ur bio I’m stupid lol
3335,1,I want to dominate you and make you mine ;)
3348,1,And you can suck on me hard until we cum
2976,1,  I wish I could go to the farmers market with you and pick
2838,0,"haha no, what about the national?"
3548,1,Until I scream
957,0,"Oh no, what sorts of messages are you getting?"
1378,0,I lived in perkins last year and I remember people throwing out q bunch of shit
1574,0,you put a disclaimer in your about me section
536,1,It’ll be perfect for concerts and reaching the REALLY high shelves at Costco
2933,1, your compassion for others is so beautiful its so attractive 
2642,0,"i don't think you'll get to wrestle my dog, she's not very good at playing games"
2738,0,yeah impulse buy in year 12
2681,0,"melbourne's good, haha i've never been to any other unis tho, 
3rd year"
1757,0,"not much, going into uni to tutor for vcess"
2137,0,jack white lazaretto
98,0,It only took 4 months 😂😂
1805,0,i used to go there all the time like when i was in high school
1888,1,"haha, formal date one year"
2328,0,i just can't really do it on a regular basis
1231,1,Yeah I'd love to :)
1793,0,ha yeah it's really quite distasteful
603,0,HER is so good too ah
3161,1,Awesome. May I feel them?
56,1,U tryna meet up?
3550,1,I want to be shaking
2030,0,"not anything remotely related to engineering or maths tho, thankfully"
3486,1,"When you have a free moment, slip away and show me you pretty little tits"
2230,0,punk is gooooood
2077,0,everyone asks me about it...
2299,0,haha you're on a phone tho aren't you?
1001,1,"Hey Ella, you have a great smile!"
2757,1,arts student?
2726,1,"fingers, just a nibble"
356,1,What’s the first concert you will ride my shoulders for?
123,0,If I rememberrrr correctly I wanna say it was Health! Haha I could be wrong tho
1502,0,so many people have taken up hatchet job photoshopping on tinder
2967,1, I wish I could just lay down with you and rest my head on your chest    
3231,1,Huh who is this
1535,0,diabetes
3493,1,that makes me want to even more
2911,1, your attentiveness is a rare gem it makes me feel so special 
601,0,Super clean Vol 2 going straight to the queue haha
3007,1,I want to fuck you hottie
1029,0,Goes out *
616,0,Haha same thank u too! Night
892,0,If we lose at pong is that grounds for divorce?
2973,1,I wish I could take a break from work and spend some time with you instead    
3017,1,please cum in my mouth
1972,0,"it's only a seasonal thing, good fun and such"
125,0,Ugh Covid really fucking up our last time at UW 😕 yep haha I’m set to graduate in March
1616,0,anyway
2128,0,he's even done one with flower petals stuck in the middle
3186,1,What are u seeing? ;)
3160,1,With JUST my panties on ;)
2946,1,"I'm not looking to date anyone else right now, but I can't help feeling drawn to you."
67,1,Haha send me your addy and we’ll meet tho
2494,0,i listen mostly to indie rock of the british variety
3172,1,Then I find something hard.. Hard like a pole... Mhmmm
3533,1,Fuck I want that so bad
2057,0,a friend of mine is kind of obsessed with their 90s night
897,0,Just followed back haha. I’m boutta sleep talk tmrw tho 2034 beer pong champ
1626,0,"no, it shall go about unnamed for now"
3517,1,I want you to fuck my mouth thrusting your hard cock down my throat and making my pussy sloppy wet while you fuck me with my wand and the fun extension.
1923,0,but holidays right?
148,1,Are you my laptop? Cause you’re really hot and I’m kinda nervous 👉🏼👈🏼
908,0,Ya know sometimes you just gotta humble yourself
3127,1,I can’t believe you talked me into this!!!!!!
1758,0,what about you?
2381,0,haha why not
279,0,That’s pretty intense Kyle levels right there
1282,1,Can he join us on our first date
3204,1,Indeed
3018,1, I will cum
151,0,Snapchat: tronvaughn
3305,1,(I send a dick pic lol)
2952,1,I would rather taste your lips than any spicy dish.
2669,0,pierogis
1418,0,"that's why i don't do relationships in semester, it fucks with your head too much."
2800,0,what are you doing in melbourne?
3409,1,Yeah you got me all riled up
589,0,That sounds way better than what I put 😂 sushi is so good ah
754,1,Awe thanks Kye 🥴 ur 🔥
2896,1,you look stunning today
44,0,Damn Graham
3416,1,In your little fantasy
1309,0,Is this graded on a curve or is 6/10 still failing?
1322,0,"I think I can work with that, but where will we park the horses we take to work?"
3371,1,Harder
1445,0,how did you get into dance?
2121,1,FLOAT ON
3547,1,Over and over and over
3053,1,<knees melting>
280,0,It’s faster to get down the hallway
1542,0,"i have to sleep, i'll ttyl"
3539,1,Will you be naked?
2802,0,haha isn't that what interning is?
2403,0,or cancer
2570,0,"indie rock and indie pop, mostly"
2641,0,lol well i'm not particularly fond of the institution of marriage in the first place
2304,0,i figured you did
1168,1,Why are the good ones always 500 miles away?
661,1,Will I at least have free room and board at your place when I come?
1013,0,What sort of stuff do you like to do in Berkeley? With the quarantine and all I havent had much chance to explore
1252,1,Or at least a date or something
1713,0,i went with a friend who just went for the canned ice cream
1534,0,tooth decay
699,1,Send me your best pickup line
2543,1,which organs have you donated?
2008,0,you decided to jump?
481,0,I proved I’m insomnia
2184,1,🐩🐩🐩🐩🐩🐩🐩
435,1,😍😍😍😍 best match EVER
3322,1,<attached image>
428,1,What’s your snap?
1987,1,nice mug ☕️
876,1,"Perfect, but like if we stay married I’m cool with that too"
2905,1,You are my greatest news of the morning
2960,1,I would love to go grocery shopping with you and cook a delicious meal together    
2479,0,i am far too uncoordinated for that
2869,0,i probably petted you when i was at the show
216,1,Boy band connoisseur 🥴
3060,1,Check if you’re wet. Slide your right index finger into your pussy crack.
670,0,It’ll be the best selling movie ever
3347,1,Then I want you to sit on me while I eat you out
1955,0,today wasn't even that warm
1766,0,yeah
1273,0,It's extremely important for dental health
1342,0,Official services not that I know of
49,0,Just voted today!  FDT lmao fingers crossed for Nov 3
3153,1,I can imagine ;) I bet u look fine.
